SchoolName,NCESID,Lat,Long,N,E,S,W,N_window_area,E_window_area,S_window_area,W_window_area,NE,SE,SW,NW,NE_window_area,SE_window_area,SW_window_area,NW_window_area,N_house_area,E_house_area,S_house_area,W_house_area,NE_house_area,SE_house_area,SW_house_area,NW_house_area,N_ratio,E_ratio,S_ratio,W_ratio,NE_ratio,SE_ratio,SW_ratio,NW_ratio
Another Course To College,250279000698,42.265168,-71.117736,5,0,2,9,21476.0,0.0,3421.0,16626.5,0,0,0,0,0.0,0.0,0.0,0.0,38080.0,0.0,43010.0,48930.0,0.0,0.0,0.0,0.0,0.5639705882352941,0.0,0.07953964194373402,0.3398017576129164,0.0,0.0,0.0,0.0
Baldwin Early Learning Center,250279000011,42.342017,-71.140534,0,0,0,0,0.0,0.0,0.0,0.0,28,57,0,37,10177.0,28196.0,0.0,22289.5,0.0,0.0,0.0,0.0,115787.0,275012.0,0.0,198134.0,0.0,0.0,0.0,0.0,0.08789415046594178,0.10252643521009992,0.0,0.11249709792362744
Beethoven,250279000198,42.26365,-71.155682,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0.0,7467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312839653015606,0.0,0.0
Blackstone,250279000201,42.340724,-71.071883,0,0,0,0,0.0,0.0,0.0,0.0,11,0,0,9,142714.5,0.0,0.0,10709.0,0.0,0.0,0.0,0.0,518412.0,0.0,0.0,14196.0,0.0,0.0,0.0,0.0,0.27529165991527976,0.0,0.0,0.7543674274443505
Boston Adult Academy,250279001511,42.348671,-71.068159,0,20,17,0,0.0,71048.5,17147.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,127512.0,79990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571906957776523,0.2143642955369421,0.0,0.0,0.0,0.0,0.0
Boston Arts Academy,250279001128,42.301041,-71.061835,0,0,0,0,0.0,0.0,0.0,0.0,0,0,22,18,0.0,0.0,29733.0,14588.0,0.0,0.0,0.0,0.0,0.0,0.0,343620.0,158700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08652872359001222,0.09192186515437933
Boston Community Leadership Academy,250279001692,42.262966,-71.117887,0,12,0,12,0.0,10965.5,0.0,11750.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,56840.0,0.0,62678.0,0.0,0.0,0.0,0.0,0.0,0.19291871921182266,0.0,0.1874740738377102,0.0,0.0,0.0,0.0
Boston Day And Evening Academy Charter School,250004901245,42.326972,-71.08183100000001,0,0,0,0,0.0,0.0,0.0,0.0,0,0,14,0,0.0,0.0,11123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15374939525882922,0.0
Boston Green Academy Horace Mann Charter School,250052602703,42.35033,-71.145551,25,41,36,27,49624.0,7948.5,19000.5,27853.5,0,0,0,0,0.0,0.0,0.0,0.0,111339.0,81458.0,76752.0,122248.0,0.0,0.0,0.0,0.0,0.445701865473913,0.09757789290186354,0.24755706691682303,0.22784421831032,0.0,0.0,0.0,0.0
Boston International High School,250279002015,42.281267,-71.080897,12,0,22,0,71128.5,0.0,18255.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,336005.0,0.0,106000.0,0.0,0.0,0.0,0.0,0.0,0.21168881415455126,0.0,0.17221698113207548,0.0,0.0,0.0,0.0,0.0
